__time,joint1_position,joint2_position,joint3_position,joint4_position,joint5_position,joint6_position
1664545415.69059,0.671937,1.745781,0.656501,0.868233,1.040039,-0.536893
1664545415.71118,0.675685,1.745355,0.657371,0.868233,1.040039,-0.535359
1664545415.73091,0.679132,1.744772,0.658302,0.868233,1.040039,-0.535359
1664545415.7504,0.682279,1.744334,0.659182,0.868233,1.040039,-0.536893
1664545415.77086,0.685251,1.743826,0.660073,0.868233,1.040039,-0.536893
1664545415.7909,0.687911,1.74345,0.660859,0.869767,1.040039,-0.535359
1664545415.81048,0.690334,1.742962,0.661553,0.868233,1.040039,-0.536893
1664545415.83063,0.692684,1.742498,0.662278,0.868233,1.040039,-0.535359
1664545415.85058,0.694951,1.742066,0.66293,0.868233,1.040039,-0.536893
1664545415.87061,0.696908,1.741608,0.663655,0.868233,1.038505,-0.535359
1664545415.89041,0.69872,1.741314,0.664307,0.868233,1.040039,-0.535359
1664545415.91038,0.700562,1.740894,0.664804,0.868233,1.040039,-0.535359
1664545415.93059,0.702198,1.740493,0.665384,0.868233,1.040039,-0.535359
1664545415.95073,0.703792,1.740211,0.665994,0.868233,1.040039,-0.535359
1664545415.97067,0.705055,1.739804,0.666512,0.868233,1.040039,-0.535359
1664545415.99047,0.706298,1.739478,0.66703,0.868233,1.040039,-0.535359
1664545416.01048,0.707437,1.739284,0.667599,0.868233,1.040039,-0.535359
1664545416.03064,0.708482,1.738965,0.668127,0.868233,1.040039,-0.535359
1664545416.05057,0.709538,1.738607,0.66852,0.868233,1.040039,-0.535359
1664545416.07134,0.710408,1.738357,0.668976,0.868233,1.040039,-0.535359
1664545416.09047,0.711174,1.738144,0.669411,0.868233,1.040039,-0.535359
1664545416.11074,0.711764,1.737812,0.669835,0.868233,1.040039,-0.535359
1664545416.13081,0.712302,1.737536,0.670146,0.868233,1.040039,-0.535359
1664545416.15067,0.712768,1.737373,0.670487,0.868233,1.040039,-0.535359
1664545416.17074,0.713048,1.737285,0.670839,0.868233,1.038505,-0.536893
1664545416.18983,0.713141,1.737223,0.671129,0.868233,1.036971,-0.538427
1664545416.2108,0.713131,1.737104,0.671326,0.869767,1.033903,-0.541495
1664545416.23021,0.713027,1.736966,0.67145,0.871301,1.030835,-0.546097
1664545416.25029,0.712468,1.736859,0.671512,0.872835,1.024699,-0.550699
1664545416.2701,0.711578,1.736841,0.671512,0.875903,1.020097,-0.555301
1664545416.29067,0.710304,1.736841,0.671512,0.878971,1.013961,-0.558369
1664545416.31001,0.708813,1.736847,0.671512,0.882039,1.007825,-0.562971
1664545416.33063,0.707033,1.736853,0.671512,0.883573,1.001689,-0.567573
1664545416.34979,0.704973,1.736903,0.671502,0.886641,0.995554,-0.572175
1664545416.37066,0.702633,1.736985,0.67144,0.889709,0.989418,-0.578311
1664545416.38993,0.699869,1.737079,0.671378,0.892777,0.984816,-0.582913
1664545416.41031,0.69697,1.737216,0.671316,0.895845,0.97868,-0.587515
1664545416.43034,0.693647,1.737373,0.671233,0.898913,0.97101,-0.593651
1664545416.44101,0.692042,1.737448,0.671202,0.900447,0.966408,-0.596719
1664545416.4703,0.686628,1.73768,0.671098,0.906583,0.957204,-0.604388
1664545416.49084,0.682942,1.737931,0.671005,0.909651,0.949534,-0.612058
1664545416.51028,0.679018,1.738206,0.670881,0.914253,0.94033,-0.618194
1664545416.52085,0.677113,1.738363,0.670757,0.915787,0.937262,-0.622796
1664545416.5503,0.671005,1.738946,0.67027,0.923456,0.923456,-0.635068
1664545416.57092,0.666812,1.73939,0.669752,0.929592,0.912719,-0.644272
1664545416.59016,0.662257,1.739835,0.669183,0.93266,0.901981,-0.651942
1664545416.60108,0.660011,1.740067,0.668759,0.934194,0.895845,-0.658078
1664545416.63042,0.652639,1.740819,0.667661,0.941864,0.878971,-0.67035
1664545416.64108,0.650144,1.741063,0.667164,0.946466,0.872835,-0.676486
1664545416.67005,0.642017,1.741865,0.665932,0.954136,0.854427,-0.690291
1664545416.68065,0.639284,1.742128,0.665446,0.957204,0.848291,-0.696427
1664545416.71003,0.63036,1.742968,0.664038,0.966408,0.831418,-0.711767
